Gene ID	Gene_NAME	Transcript ID	STRAND
567812	ABAT_ENST00000567812	ENST00000567812.5	1
569156	ABAT_ENST00000569156	ENST00000569156.5	1
60091	ABCA1	ENST00000374736.7	-1
64228	ABCA10	ENST00000269081.8	-1
68571	ABCA12	ENST00000272895.11	-1
106684	ABCA12_ENST00000389661	ENST00000389661.4	-1
412081	ABCA12_ENST00000412081	ENST00000412081.1	-1
92763	ABCA13	ENST00000435803.5	1
374733	ABCA1_ENST00000374733	ENST00000374733.1	-1
101204	ABCA1_ENST00000423487	ENST00000423487.6	-1
75711	ABCA2	ENST00000341511.10	-1
265662	ABCA2_ENST00000265662	ENST00000265662.9	-1
371605	ABCA2_ENST00000371605	ENST00000371605.7	-1
614293	ABCA2_ENST00000614293	ENST00000614293.4	-1
63196	ABCA3	ENST00000301732.9	-1
382381	ABCA3_ENST00000382381	ENST00000382381.7	-1
567910	ABCA3_ENST00000567910	ENST00000567910.1	-1
55001	ABCA4	ENST00000370225.3	-1
107778	ABCA4_ENST00000536513	ENST00000536513.5	-1
64229	ABCA5	ENST00000392676.7	-1
588877	ABCA5_ENST00000588877	ENST00000588877.5	-1
64227	ABCA6	ENST00000284425.6	-1
101164	ABCA6_ENST00000590645	ENST00000590645.1	-1
64527	ABCA7	ENST00000263094.10	1
433129	ABCA7_ENST00000433129	ENST00000433129.5	1
435683	ABCA7_ENST00000435683	ENST00000435683.6	1
586539	ABCA8	ENST00000586539.5	-1
64225	ABCA8_ENST00000269080	ENST00000269080.6	-1
105010	ABCA8_ENST00000430352	ENST00000430352.6	-1
615593	ABCA8_ENST00000615593	ENST00000615593.4	-1
64226	ABCA9	ENST00000340001.8	-1
453985	ABCA9_ENST00000453985	ENST00000453985.6	-1
495634	ABCA9_ENST00000495634	ENST00000495634.5	-1
622132	ABCB1	ENST00000622132.4	-1
55707	ABCB10	ENST00000344517.4	-1
81344	ABCB11	ENST00000263817.6	-1
5812	ABCB1_ENST00000265724	ENST00000265724.7	-1
543898	ABCB1_ENST00000543898	ENST00000543898.5	-1
107239	ABCB4	ENST00000265723.8	-1
358400	ABCB4_ENST00000358400	ENST00000358400.7	-1
59133	ABCB4_ENST00000359206	ENST00000359206.7	-1
453593	ABCB4_ENST00000453593	ENST00000453593.5	-1
94902	ABCB5	ENST00000404938.6	1
58947	ABCB5_ENST00000258738	ENST00000258738.10	1
406935	ABCB5_ENST00000406935	ENST00000406935.5	1
99318	ABCB5_ENST00000443026	ENST00000443026.6	1
5813	ABCB6	ENST00000265316.8	-1
295750	ABCB6_ENST00000295750	ENST00000295750.5	-1
645829	ABCB7	ENST00000645829.1	-1
5814	ABCB7_ENST00000253577	ENST00000253577.8	-1
339447	ABCB7_ENST00000339447	ENST00000339447.8	-1
373394	ABCB7_ENST00000373394	ENST00000373394.7	-1
620875	ABCB7_ENST00000620875	ENST00000620875.5	-1
644766	ABCB7_ENST00000644766	ENST00000644766.1	-1
297504	ABCB8	ENST00000297504.10	1
5815	ABCB8_ENST00000358849	ENST00000358849.8	1
477092	ABCB8_ENST00000477092	ENST00000477092.5	1
477719	ABCB8_ENST00000477719	ENST00000477719.5	1
498578	ABCB8_ENST00000498578	ENST00000498578.5	1
106024	ABCB8_ENST00000542328	ENST00000542328.5	1
542678	ABCB9	ENST00000542678.5	-1
280560	ABCB9_ENST00000280560	ENST00000280560.12	-1
344275	ABCB9_ENST00000344275	ENST00000344275.11	-1
346530	ABCB9_ENST00000346530	ENST00000346530.9	-1
62175	ABCB9_ENST00000392439	ENST00000392439.7	-1
442028	ABCB9_ENST00000442028	ENST00000442028.6	-1
442833	ABCB9_ENST00000442833	ENST00000442833.6	-1
540285	ABCB9_ENST00000540285	ENST00000540285.5	-1
6910	ABCC1	ENST00000399410.7	1
105598	ABCC10	ENST00000372530.8	1
58546	ABCC10_ENST00000244533	ENST00000244533.7	1
394747	ABCC11	ENST00000394747.5	-1
353782	ABCC11_ENST00000353782	ENST00000353782.9	-1
63417	ABCC11_ENST00000356608	ENST00000356608.6	-1
394748	ABCC11_ENST00000394748	ENST00000394748.5	-1
63416	ABCC12	ENST00000311303.7	-1
103204	ABCC1_ENST00000399408	ENST00000399408.6	1
5816	ABCC2	ENST00000370449.8	1
370434	ABCC2_ENST00000370434	ENST00000370434.1	1
5817	ABCC3	ENST00000285238.12	1
99014	ABCC3_ENST00000427699	ENST00000427699.5	1
515707	ABCC3_ENST00000515707	ENST00000515707.1	1
645237	ABCC4	ENST00000645237.1	-1
6915	ABCC4_ENST00000376887	ENST00000376887.9	-1
536256	ABCC4_ENST00000536256	ENST00000536256.3	-1
629385	ABCC4_ENST00000629385	ENST00000629385.1	-1
646439	ABCC4_ENST00000646439	ENST00000646439.1	-1
5818	ABCC5	ENST00000334444.10	-1
265586	ABCC5_ENST00000265586	ENST00000265586.10	-1
96351	ABCC5_ENST00000382494	ENST00000382494.6	-1
392579	ABCC5_ENST00000392579	ENST00000392579.6	-1
427120	ABCC5_ENST00000427120	ENST00000427120.6	-1
446941	ABCC5_ENST00000446941	ENST00000446941.2	-1
5819	ABCC6	ENST00000205557.11	-1
575728	ABCC6_ENST00000575728	ENST00000575728.1	-1
622290	ABCC6_ENST00000622290	ENST00000622290.4	-1
640696	ABCC6_ENST00000640696	ENST00000640696.1	-1
302539	ABCC8	ENST00000302539.9	-1
5820	ABCC8_ENST00000389817	ENST00000389817.7	-1
612903	ABCC8_ENST00000612903	ENST00000612903.1	-1
642271	ABCC8_ENST00000642271	ENST00000642271.1	-1
643260	ABCC8_ENST00000643260	ENST00000643260.1	-1
643878	ABCC8_ENST00000643878	ENST00000643878.1	-1
644772	ABCC8_ENST00000644772	ENST00000644772.1	-1
646902	ABCC8_ENST00000646902	ENST00000646902.1	-1
647015	ABCC8_ENST00000647015	ENST00000647015.1	-1
61713	ABCC9	ENST00000261200.8	-1
95054	ABCC9_ENST00000261201	ENST00000261201.8	-1
326684	ABCC9_ENST00000326684	ENST00000326684.8	-1
538350	ABCC9_ENST00000538350	ENST00000538350.5	-1
621589	ABCC9_ENST00000621589	ENST00000621589.1	-1
636888	ABCC9_ENST00000636888	ENST00000636888.1	-1
5821	ABCD1	ENST00000218104.5	1
105650	ABCD1_ENST00000370129	ENST00000370129.4	1
61748	ABCD2	ENST00000308666.3	-1
55003	ABCD3	ENST00000370214.8	1
96927	ABCD3_ENST00000315713	ENST00000315713.5	1
5822	ABCD4	ENST00000356924.8	-1
557588	ABCD4_ENST00000557588	ENST00000557588.5	-1
68964	ABCE1	ENST00000296577.8	1
69163	ABCF1	ENST00000326195.12	1
376545	ABCF1_ENST00000376545	ENST00000376545.7	1
104913	ABCF2	ENST00000222388.6	-1
59411	ABCF2	ENST00000287844.6	-1
57127	ABCF3	ENST00000429586.6	1
292808	ABCF3_ENST00000292808	ENST00000292808.5	1
65857	ABCG1	ENST00000361802.6	1
107881	ABCG1_ENST00000343687	ENST00000343687.7	1
347800	ABCG1_ENST00000347800	ENST00000347800.6	1
101480	ABCG1_ENST00000398437	ENST00000398437.1	1
398449	ABCG1_ENST00000398449	ENST00000398449.7	1
92138	ABCG1_ENST00000398457	ENST00000398457.6	1
5823	ABCG2	ENST00000237612.7	-1
515655	ABCG2_ENST00000515655	ENST00000515655.5	-1
619701	ABCG4	ENST00000619701.4	1
615496	ABCG4_ENST00000615496	ENST00000615496.4	1
622721	ABCG4_ENST00000622721	ENST00000622721.1	1
55907	ABCG5	ENST00000260645.5	-1
405322	ABCG5_ENST00000405322	ENST00000405322.6	-1
645013	ABCG8	ENST00000645013.1	1
55908	ABCG8_ENST00000272286	ENST00000272286.3	1
55840	ABHD1	ENST00000316470.8	1
56868	ABHD10	ENST00000273359.7	1
494817	ABHD10_ENST00000494817	ENST00000494817.1	1
59098	ABHD11	ENST00000222800.7	-1
395147	ABHD11_ENST00000395147	ENST00000395147.8	-1
437775	ABHD11_ENST00000437775	ENST00000437775.6	-1
458339	ABHD11_ENST00000458339	ENST00000458339.5	-1
65482	ABHD12	ENST00000376542.7	-1
95659	ABHD12B	ENST00000337334.6	1
62565	ABHD12B_ENST00000353130	ENST00000353130.5	1
95431	ABHD12_ENST00000339157	ENST00000339157.9	-1
67697	ABHD13	ENST00000375898.3	1
56762	ABHD14A	ENST00000273596.7	1
463937	ABHD14A-ACY1_ENST00000463937	ENST00000463937.1	1
101119	ABHD14A_ENST00000458031	ENST00000458031.6	1
491470	ABHD14A_ENST00000491470	ENST00000491470.1	1
483233	ABHD14B	ENST00000483233.5	-1
105311	ABHD14B_ENST00000315877	ENST00000315877.14	-1
56761	ABHD14B_ENST00000361143	ENST00000361143.9	-1
395008	ABHD14B_ENST00000395008	ENST00000395008.6	-1
461108	ABHD14B_ENST00000461108	ENST00000461108.5	-1
525795	ABHD14B_ENST00000525795	ENST00000525795.1	-1
3918	ABHD15	ENST00000307201.4	-1
58394	ABHD16A	ENST00000395952.7	-1
440843	ABHD16A_ENST00000440843	ENST00000440843.2	-1
65753	ABHD16B	ENST00000369916.5	1
68242	ABHD17A	ENST00000250974.9	-1
292577	ABHD17A_ENST00000292577	ENST00000292577.11	-1
590661	ABHD17A_ENST00000590661	ENST00000590661.1	-1
105959	ABHD17B	ENST00000377041.6	-1
69549	ABHD17B_ENST00000333421	ENST00000333421.6	-1
93681	ABHD17C	ENST00000258884.4	1
558464	ABHD17C_ENST00000558464	ENST00000558464.1	1
560609	ABHD17C_ENST00000560609	ENST00000560609.1	1
645843	ABHD18	ENST00000645843.1	1
388795	ABHD18_ENST00000388795	ENST00000388795.9	1
93165	ABHD18_ENST00000398965	ENST00000398965.5	1
444616	ABHD18_ENST00000444616	ENST00000444616.5	1
611882	ABHD18_ENST00000611882	ENST00000611882.1	1
621324	ABHD1_ENST00000621324	ENST00000621324.4	1
5824	ABHD2	ENST00000352732.9	1
565973	ABHD2_ENST00000565973	ENST00000565973.5	1
68203	ABHD3	ENST00000289119.6	-1
578270	ABHD3_ENST00000578270	ENST00000578270.5	-1
580981	ABHD3_ENST00000580981	ENST00000580981.5	-1
62456	ABHD4	ENST00000428304.6	1
216327	ABHD4_ENST00000216327	ENST00000216327.10	1
644371	ABHD5	ENST00000644371.1	1
454293	ABHD5_ENST00000454293	ENST00000454293.2	1
56652	ABHD5_ENST00000458276	ENST00000458276.7	1
478253	ABHD6	ENST00000478253.5	1
56800	ABHD6_ENST00000295962	ENST00000295962.8	1
64801	ABHD8	ENST00000247706.3	-1
5825	ABI1	ENST00000376142.6	-1
108176	ABI1_ENST00000346832	ENST00000346832.10	-1
359188	ABI1_ENST00000359188	ENST00000359188.8	-1
376137	ABI1_ENST00000376137	ENST00000376137.8	-1
376138	ABI1_ENST00000376138	ENST00000376138.7	-1
376139	ABI1_ENST00000376139	ENST00000376139.6	-1
376140	ABI1_ENST00000376140	ENST00000376140.3	-1
376160	ABI1_ENST00000376160	ENST00000376160.5	-1
376166	ABI1_ENST00000376166	ENST00000376166.5	-1
376170	ABI1_ENST00000376170	ENST00000376170.8	-1
490841	ABI1_ENST00000490841	ENST00000490841.6	-1
536334	ABI1_ENST00000536334	ENST00000536334.5	-1
101672	ABI2	ENST00000295851.9	1
107863	ABI2_ENST00000261016	ENST00000261016.10	1
56351	ABI2_ENST00000261017	ENST00000261017.9	1
261018	ABI2_ENST00000261018	ENST00000261018.11	1
422511	ABI2_ENST00000422511	ENST00000422511.6	1
424558	ABI2_ENST00000424558	ENST00000424558.5	1
430418	ABI2_ENST00000430418	ENST00000430418.5	1
64111	ABI3	ENST00000225941.5	1
81420	ABI3BP	ENST00000284322.9	-1
94708	ABI3BP_ENST00000471714	ENST00000471714.5	-1
495063	ABI3BP_ENST00000495063	ENST00000495063.5	-1
419580	ABI3_ENST00000419580	ENST00000419580.6	1
99685	ABL1	ENST00000372348.6	1
33	ABL1_ENST00000318560	ENST00000318560.5	1
94881	ABL2	ENST00000502732.5	-1
344730	ABL2_ENST00000344730	ENST00000344730.7	-1
367623	ABL2_ENST00000367623	ENST00000367623.8	-1
102691	ABL2_ENST00000392043	ENST00000392043.3	-1
504405	ABL2_ENST00000504405	ENST00000504405.5	-1
507173	ABL2_ENST00000507173	ENST00000507173.5	-1
511413	ABL2_ENST00000511413	ENST00000511413.5	-1
34	ABL2_ENST00000512653	ENST00000512653.5	-1
103443	ABLIM1	ENST00000277895.9	-1
60764	ABLIM1_ENST00000369252	ENST00000369252.8	-1
369253	ABLIM1_ENST00000369253	ENST00000369253.6	-1
369256	ABLIM1_ENST00000369256	ENST00000369256.6	-1
369266	ABLIM1_ENST00000369266	ENST00000369266.7	-1
96932	ABLIM1_ENST00000392952	ENST00000392952.7	-1
103444	ABLIM1_ENST00000392955	ENST00000392955.7	-1
533213	ABLIM1_ENST00000533213	ENST00000533213.6	-1
91119	ABLIM2	ENST00000447017.6	-1
341937	ABLIM2_ENST00000341937	ENST00000341937.9	-1
361581	ABLIM2_ENST00000361581	ENST00000361581.9	-1
105288	ABLIM2_ENST00000361737	ENST00000361737.9	-1
407564	ABLIM2_ENST00000407564	ENST00000407564.7	-1
428004	ABLIM2_ENST00000428004	ENST00000428004.6	-1
505872	ABLIM2_ENST00000505872	ENST00000505872.5	-1
514025	ABLIM2_ENST00000514025	ENST00000514025.5	-1
545242	ABLIM2_ENST00000545242	ENST00000545242.5	-1
506113	ABLIM3	ENST00000506113.5	1
58036	ABLIM3_ENST00000309868	ENST00000309868.11	1
326685	ABLIM3_ENST00000326685	ENST00000326685.11	1
356541	ABLIM3_ENST00000356541	ENST00000356541.4	1
105906	ABLIM3_ENST00000504238	ENST00000504238.5	1
508983	ABLIM3_ENST00000508983	ENST00000508983.5	1
517451	ABLIM3_ENST00000517451	ENST00000517451.5	1
538324	ABO	ENST00000538324.2	-1
611156	ABO_ENST00000611156	ENST00000611156.4	-1
63640	ABR	ENST00000302538.9	-1
59716	ABRA	ENST00000311955.3	-1
75547	ABRACL	ENST00000367660.3	1
105251	ABRACL_ENST00000461027	ENST00000461027.1	1
6949	ABRAXAS1	ENST00000321945.11	-1
506553	ABRAXAS1_ENST00000506553	ENST00000506553.5	-1
515303	ABRAXAS1_ENST00000515303	ENST00000515303.2	-1
6947	ABRAXAS2	ENST00000298492.5	1
99897	ABR_ENST00000291107	ENST00000291107.6	-1
536794	ABR_ENST00000536794	ENST00000536794.6	-1
543210	ABR_ENST00000543210	ENST00000543210.6	-1
544583	ABR_ENST00000544583	ENST00000544583.6	-1
572441	ABR_ENST00000572441	ENST00000572441.5	-1
574437	ABR_ENST00000574437	ENST00000574437.5	-1
58308	ABT1	ENST00000274849.2	1
56943	ABTB1	ENST00000232744.12	1
453791	ABTB1_ENST00000453791	ENST00000453791.6	1
468137	ABTB1_ENST00000468137	ENST00000468137.5	1
99553	ABTB2	ENST00000435224.2	-1
638101	AC001226.2_ENST00000638101	ENST00000638101.1	1
555059	AC002094.3	ENST00000555059.2	-1
568114	AC002310.4	ENST00000568114.1	-1
546840	AC002996.1	ENST00000546840.2	1
597658	AC003002.1	ENST00000597658.1	1
597410	AC003002.2	ENST00000597410.1	1
596400	AC003002.3	ENST00000596400.1	1
594684	AC003006.1	ENST00000594684.1	1
596831	AC004076.1	ENST00000596831.1	-1
470747	AC004080.3	ENST00000470747.4	-1
593039	AC004223.3	ENST00000593039.5	-1
573315	AC004233.2	ENST00000573315.2	1
644824	AC004593.3	ENST00000644824.1	1
509504	AC004691.2	ENST00000509504.2	1
600536	AC004754.1	ENST00000600536.1	1
439838	AC004832.3	ENST00000439838.5	1
638617	AC004922.1	ENST00000638617.1	1
598361	AC005154.6	ENST00000598361.4	-1
455584	AC005324.3	ENST00000455584.2	-1
641816	AC005551.1	ENST00000641816.1	-1
582441	AC005697.1	ENST00000582441.1	-1
591035	AC005702.1	ENST00000591035.1	1
577790	AC005726.1_ENST00000577790	ENST00000577790.1	-1
587459	AC005837.2	ENST00000587459.1	1
594664	AC006486.1	ENST00000594664.1	-1
92015	AC006518.7	ENST00000428168.5	-1
586572	AC006538.2	ENST00000586572.1	-1
606025	AC007040.2	ENST00000606025.5	-1
638240	AC007326.4	ENST00000638240.1	1
573619	AC007846.2	ENST00000573619.1	1
619363	AC007906.2	ENST00000619363.2	-1
589258	AC007998.2	ENST00000589258.1	-1
613352	AC008162.2	ENST00000613352.1	-1
643046	AC008397.1	ENST00000643046.1	-1
64819	AC008397.2	ENST00000355502.7	-1
595676	AC008403.1	ENST00000595676.1	1
591656	AC008687.1	ENST00000591656.1	-1
637680	AC008687.4	ENST00000637680.1	-1
514667	AC008695.1	ENST00000514667.1	-1
428311	AC008758.1	ENST00000428311.1	-1
595562	AC008758.5	ENST00000595562.1	-1
597959	AC008763.3	ENST00000597959.1	1
590798	AC008770.2	ENST00000590798.1	1
591944	AC008770.2_ENST00000591944	ENST00000591944.1	1
599312	AC008878.1	ENST00000599312.1	1
617428	AC008878.3	ENST00000617428.2	1
594769	AC008982.1	ENST00000594769.5	-1
449759	AC009086.2	ENST00000449759.1	1
561562	AC009119.2	ENST00000561562.5	1
567194	AC009163.4	ENST00000567194.5	-1
635976	AC009477.2	ENST00000635976.1	1
95951	AC009779.3	ENST00000550412.5	1
549424	AC009779.3_ENST00000549424	ENST00000549424.1	1
509403	AC010255.3	ENST00000509403.6	1
514637	AC010255.3_ENST00000514637	ENST00000514637.1	1
594663	AC010319.2	ENST00000594663.1	-1
636757	AC010325.1	ENST00000636757.1	-1
562076	AC010325.1_ENST00000562076	ENST00000562076.1	-1
597961	AC010422.5	ENST00000597961.1	-1
634278	AC010487.3	ENST00000634278.1	-1
598031	AC010522.1	ENST00000598031.1	1
568879	AC010531.1	ENST00000568879.1	-1
597630	AC010616.1	ENST00000597630.2	-1
594059	AC010646.1	ENST00000594059.1	-1
467614	AC011005.1	ENST00000467614.2	1
583666	AC011195.2	ENST00000583666.2	-1
555938	AC011448.1	ENST00000555938.1	1
599996	AC011455.2	ENST00000599996.1	-1
540732	AC011462.1	ENST00000540732.3	1
591889	AC011479.1	ENST00000591889.2	1
586012	AC011499.1	ENST00000586012.1	-1
540229	AC011604.2	ENST00000540229.1	1
381541	AC011604.2_ENST00000381541	ENST00000381541.7	1
443119	AC012184.2	ENST00000443119.7	1
645673	AC012476.1	ENST00000645673.1	1
513209	AC012531.3	ENST00000513209.1	1
629685	AC013394.1	ENST00000629685.2	1
636804	AC013470.2	ENST00000636804.1	1
635746	AC013470.2_ENST00000635746	ENST00000635746.1	1
640006	AC015802.6	ENST00000640006.1	-1
578794	AC015813.2	ENST00000578794.1	-1
614215	AC018554.3	ENST00000614215.2	-1
509111	AC018709.1	ENST00000509111.2	-1
599649	AC018755.2	ENST00000599649.5	-1
68397	AC018755.2_ENST00000429354	ENST00000429354.3	-1
637807	AC019117.3	ENST00000637807.1	1
599632	AC020909.1	ENST00000599632.1	1
635789	AC021072.1	ENST00000635789.1	1
644661	AC021097.2	ENST00000644661.1	-1
636296	AC022167.5	ENST00000636296.1	1
637237	AC022167.5_ENST00000637237	ENST00000637237.1	1
637929	AC022167.5_ENST00000637929	ENST00000637929.1	1
646262	AC022414.1	ENST00000646262.1	1
642841	AC022506.1	ENST00000642841.1	-1
546837	AC023055.1	ENST00000546837.5	-1
591834	AC023509.3	ENST00000591834.1	-1
586349	AC024592.3	ENST00000586349.5	-1
618352	AC025283.2	ENST00000618352.1	1
640173	AC025287.4	ENST00000640173.1	-1
486975	AC026316.5	ENST00000486975.1	1
379816	AC026461.4	ENST00000379816.5	1
563634	AC026464.3	ENST00000563634.1	-1
570054	AC026464.4	ENST00000570054.3	1
540096	AC026786.1	ENST00000540096.2	1
548861	AC034102.2	ENST00000548861.1	1
430850	AC037459.1_ENST00000430850	ENST00000430850.6	1
507166	AC058822.1	ENST00000507166.5	1
450043	AC068533.4	ENST00000450043.2	1
636397	AC068580.4	ENST00000636397.1	-1
636615	AC068580.4_ENST00000636615	ENST00000636615.1	-1
418776	AC068631.2	ENST00000418776.1	1
539033	AC068775.1	ENST00000539033.1	-1
618862	AC068790.8	ENST00000618862.1	1
642069	AC068987.5	ENST00000642069.1	-1
437723	AC069368.1	ENST00000437723.1	1
478789	AC073111.3	ENST00000478789.5	1
498682	AC073111.5	ENST00000498682.3	1
641717	AC073111.5_ENST00000641717	ENST00000641717.1	1
642087	AC073111.5_ENST00000642087	ENST00000642087.1	1
537495	AC073610.2	ENST00000537495.2	-1
398092	AC073610.3	ENST00000398092.4	-1
549318	AC073896.1	ENST00000549318.5	-1
546390	AC078864.2	ENST00000546390.1	1
643663	AC079341.3	ENST00000643663.1	-1
643802	AC079341.3_ENST00000643802	ENST00000643802.1	-1
490594	AC083800.1	ENST00000490594.1	1
572493	AC087498.1	ENST00000572493.2	1
559000	AC090517.4	ENST00000559000.6	-1
564080	AC090527.2	ENST00000564080.1	1
622744	AC091057.6	ENST00000622744.4	1
622269	AC091167.6	ENST00000622269.1	1
506502	AC091959.3	ENST00000506502.2	1
619056	AC091980.2	ENST00000619056.1	-1
638880	AC092017.3	ENST00000638880.1	-1
606020	AC092073.1_ENST00000606020	ENST00000606020.1	1
556922	AC092143.1	ENST00000556922.1	1
611392	AC092329.3	ENST00000611392.5	-1
636216	AC092442.1	ENST00000636216.1	-1
410042	AC092587.1	ENST00000410042.1	1
426595	AC092647.5	ENST00000426595.1	1
564536	AC092718.3	ENST00000564536.2	-1
640345	AC092718.8	ENST00000640345.1	-1
425953	AC092835.1	ENST00000425953.5	1
91782	AC093155.3	ENST00000370548.3	1
635031	AC093323.1	ENST00000635031.1	1
627059	AC093512.2	ENST00000627059.2	1
3475	AC093512.2_ENST00000338110	ENST00000338110.10	1
395248	AC093512.2_ENST00000395248	ENST00000395248.6	1
562240	AC093512.2_ENST00000562240	ENST00000562240.1	1
566897	AC093512.2_ENST00000566897	ENST00000566897.6	1
568435	AC093512.2_ENST00000568435	ENST00000568435.6	1
575627	AC093512.2_ENST00000575627	ENST00000575627.5	1
569317	AC093525.1	ENST00000569317.1	1
564543	AC093525.2	ENST00000564543.1	1
514917	AC093668.1	ENST00000514917.2	-1
644544	AC093668.3	ENST00000644544.1	-1
473559	AC093827.5	ENST00000473559.5	-1
513963	AC093899.2	ENST00000513963.1	1
636578	AC096582.3	ENST00000636578.2	-1
494383	AC097637.1	ENST00000494383.1	-1
513325	AC098582.1	ENST00000513325.5	1
598234	AC099489.1	ENST00000598234.5	-1
592574	AC099811.2	ENST00000592574.1	-1
577660	AC099850.2	ENST00000577660.1	1
77276	AC100868.1	ENST00000262283.5	-1
519718	AC104109.3	ENST00000519718.1	-1
647543	AC104389.5	ENST00000647543.1	-1
642908	AC104389.5_ENST00000642908	ENST00000642908.1	-1
636166	AC104452.1_ENST00000636166	ENST00000636166.1	-1
512921	AC104662.2	ENST00000512921.4	1
638486	AC106774.10	ENST00000638486.1	1
640558	AC106774.5	ENST00000640558.1	1
638483	AC106774.6	ENST00000638483.1	1
638408	AC106774.7	ENST00000638408.1	1
639081	AC106774.8	ENST00000639081.1	1
638668	AC106774.9	ENST00000638668.1	1
550538	AC106782.1	ENST00000550538.5	-1
562767	AC107871.1	ENST00000562767.2	-1
520607	AC107959.5	ENST00000520607.1	1
438485	AC108488.2	ENST00000438485.1	-1
417456	AC114490.3	ENST00000417456.1	-1
77263	AC115220.1	ENST00000330020.4	1
640655	AC116366.3	ENST00000640655.2	1
638452	AC116366.3_ENST00000638452	ENST00000638452.2	1
638568	AC116366.3_ENST00000638568	ENST00000638568.2	1
610212	AC116565.1	ENST00000610212.2	-1
614557	AC117457.1	ENST00000614557.1	1
419891	AC118470.1	ENST00000419891.1	-1
54945	AC118549.1	ENST00000370801.7	-1
370798	AC118549.1_ENST00000370798	ENST00000370798.5	-1
639037	AC118553.2	ENST00000639037.1	1
638792	AC118553.2_ENST00000638792	ENST00000638792.1	1
576789	AC119396.1	ENST00000576789.1	1
646142	AC119676.1	ENST00000646142.1	-1
645635	AC126283.2	ENST00000645635.1	-1
427999	AC126755.2	ENST00000427999.6	-1
327792	AC126755.2_ENST00000327792	ENST00000327792.6	-1
531453	AC126755.2_ENST00000531453	ENST00000531453.6	-1
